"";"PTBrate";"nbirth";"seasons";"missind";"missind.1"
"232";0,235253578037083;582;6;TRUE;TRUE
"233";0,245421245421245;546;6;FALSE;FALSE
"234";0,244288224956063;569;6;FALSE;FALSE
"235";0,252442385633448;554;6;TRUE;TRUE
"236";0,260596546310832;637;7;FALSE;FALSE
"237";0,23240589198036;611;7;FALSE;FALSE
"238";0,228830932338303;617;7;TRUE;TRUE
"239";0,225255972696246;586;7;FALSE;FALSE
"240";0,238527266923662;592;8;TRUE;TRUE
"241";0,251798561151079;556;8;FALSE;FALSE
"242";0,239460370994941;593;8;FALSE;FALSE
"243";0,230916030534351;524;8;FALSE;FALSE
"244";0,258333333333333;600;8;FALSE;FALSE
"245";0,222222222222222;558;9;FALSE;FALSE
"246";0,26530612244898;539;9;FALSE;FALSE
"247";0,214408233276158;583;9;FALSE;FALSE
"248";0,228284256010901;538;9;TRUE;TRUE
"249";0,242160278745645;574;10;FALSE;FALSE
"250";0,238831615120275;582;10;FALSE;FALSE
"251";0,235477575880299;559;10;TRUE;TRUE
"252";0,232123536640323;583;10;TRUE;TRUE
"253";0,228769497400347;577;10;FALSE;FALSE
"254";0,253187613843352;549;11;FALSE;FALSE
"255";0,219178082191781;584;11;FALSE;FALSE
"256";0,244336569579288;618;11;FALSE;FALSE
"257";0,239029720515854;572;11;TRUE;TRUE
"258";0,233722871452421;599;12;FALSE;FALSE
"259";0,233743409490334;569;12;FALSE;FALSE
"260";0,255067567567568;592;12;FALSE;FALSE
"261";0,266086956521739;575;12;FALSE;FALSE
"262";0,276559865092749;593;1;FALSE;FALSE
"263";0,247848537005164;581;1;FALSE;FALSE
"264";0,273830155979203;577;1;FALSE;FALSE
"265";0,263772954924875;599;1;FALSE;FALSE
"266";0,266211604095563;586;1;FALSE;FALSE
"267";0,280756808759191;634;2;TRUE;TRUE
"268";0,295302013422819;596;2;FALSE;FALSE
"269";0,258527827648115;557;2;FALSE;FALSE
"270";0,289902280130293;614;2;FALSE;FALSE
"271";0,272727272727273;594;3;FALSE;FALSE
"272";0,25569176882662;571;3;FALSE;FALSE
"273";0,287581699346405;612;3;FALSE;FALSE
"274";0,272215507207449;581;3;TRUE;TRUE
"275";0,256849315068493;584;4;FALSE;FALSE
"276";0,240773286467487;569;4;FALSE;FALSE
"277";0,248764415156507;607;4;FALSE;FALSE
"278";0,226211849192101;557;4;FALSE;FALSE
"279";0,221238938053097;565;4;FALSE;FALSE
"280";0,224462820574818;563;5;TRUE;TRUE
"281";0,227686703096539;549;5;FALSE;FALSE
"282";0,221122112211221;606;5;FALSE;FALSE
"283";0,219269102990033;602;5;FALSE;FALSE
"284";0,218068286434775;585;6;TRUE;TRUE
"285";0,216867469879518;581;6;FALSE;FALSE
"286";0,183835182250396;631;6;FALSE;FALSE
"287";0,192136076192821;561;6;TRUE;TRUE
"288";0,200436970135245;591;7;TRUE;TRUE
"289";0,20873786407767;618;7;FALSE;FALSE
"290";0,231046931407942;554;7;FALSE;FALSE
"291";0,199646643109541;566;7;FALSE;FALSE
"292";0,208185053380783;562;7;FALSE;FALSE
"293";0,179047619047619;525;8;FALSE;FALSE
